,team_name_home,team_name_away,team_home_score,team_away_score,team_victory
0,England,France,1,2,France
1,Morocco,Portugal,1,0,Morocco
2,Netherlands,Argentina,2,2,Draw
3,Croatia,Brazil,1,1,Draw
4,Portugal,Switzerland,6,1,Portugal
5,Morocco,Spain,0,0,Draw
6,Brazil,South Korea,4,1,Brazil
7,Japan,Croatia,1,1,Draw
8,England,Senegal,3,0,England
9,France,Poland,3,1,France
10,Argentina,Australia,2,1,Argentina
11,Netherlands,USA,3,1,Netherlands
12,Cameroon,Brazil,1,0,Cameroon
13,Serbia,Switzerland,2,3,Switzerland
14,South Korea,Portugal,2,1,South Korea
15,Ghana,Uruguay,0,2,Uruguay
16,Costa Rica,Germany,2,4,Germany
17,Japan,Spain,2,1,Japan
18,Croatia,Belgium,0,0,Draw
19,Canada,Morocco,1,2,Morocco
20,Poland,Argentina,0,2,Argentina
21,Saudi Arabia,Mexico,1,2,Mexico
22,Australia,Denmark,1,0,Australia
23,Tunisia,France,1,0,Tunisia
24,Wales,England,0,3,England
25,Iran,USA,0,1,USA
26,Netherlands,Qatar,2,0,Netherlands
27,Ecuador,Senegal,1,2,Senegal
28,Portugal,Uruguay,2,0,Portugal
29,Brazil,Switzerland,1,0,Brazil
30,South Korea,Ghana,2,3,Ghana
31,Cameroon,Serbia,3,3,Draw
32,Spain,Germany,1,1,Draw
33,Croatia,Canada,4,1,Croatia
34,Belgium,Morocco,0,2,Morocco
35,Japan,Costa Rica,0,1,Costa Rica
36,Argentina,Mexico,2,0,Argentina
37,France,Denmark,2,1,France
38,Poland,Saudi Arabia,2,0,Poland
39,Tunisia,Australia,0,1,Australia
40,England,USA,0,0,Draw
41,Netherlands,Ecuador,1,1,Draw
42,Qatar,Senegal,1,3,Senegal
43,Wales,Iran,0,2,Iran
44,Brazil,Serbia,2,0,Brazil
45,Portugal,Ghana,3,2,Portugal
46,Uruguay,South Korea,0,0,Draw
47,Switzerland,Cameroon,1,0,Switzerland
48,Belgium,Canada,1,0,Belgium
49,Spain,Costa Rica,7,0,Spain
50,Germany,Japan,1,2,Japan
51,Morocco,Croatia,0,0,Draw
52,France,Australia,4,1,France
53,Mexico,Poland,0,0,Draw
54,Denmark,Tunisia,0,0,Draw
55,Argentina,Saudi Arabia,1,2,Saudi Arabia
56,USA,Wales,1,1,Draw
57,Senegal,Netherlands,0,2,Netherlands
58,England,Iran,6,2,England
59,Qatar,Ecuador,0,2,Ecuador
